0,-1,-7,310,494,412,0.9838367104530334,-1,-1,-1,1
0,-1,761,367,208,111,0.9803922772407532,-1,-1,-1,3
0,-1,561,505,123,182,0.9573249816894531,-1,-1,-1,7
0,-1,958,454,283,145,0.935035228729248,-1,-1,-1,2
0,-1,537,433,26,60,0.9135634303092957,-1,-1,-1,8
0,-1,557,396,123,178,0.8834778070449829,-1,-1,-1,5
0,-1,647,397,117,173,0.656230628490448,-1,-1,-1,6
0,-1,426,414,80,96,0.5656759142875671,-1,-1,-1,4
1,-1,759,367,213,110,0.9772799015045166,-1,-1,-1,3
1,-1,-8,297,485,429,0.9682245850563049,-1,-1,-1,1
1,-1,562,503,122,184,0.9547517895698547,-1,-1,-1,7
1,-1,969,451,280,146,0.9379872679710388,-1,-1,-1,2
1,-1,558,397,123,177,0.9365555644035339,-1,-1,-1,5
1,-1,537,432,26,60,0.9067423939704895,-1,-1,-1,8
1,-1,423,415,84,95,0.6667579412460327,-1,-1,-1,4
1,-1,644,397,122,171,0.582650363445282,-1,-1,-1,6
2,-1,758,368,214,106,0.968413770198822,-1,-1,-1,3
2,-1,556,504,124,178,0.9438671469688416,-1,-1,-1,7
2,-1,974,450,284,151,0.9396687746047974,-1,-1,-1,2
2,-1,554,396,124,179,0.881086528301239,-1,-1,-1,5
2,-1,-8,282,478,448,0.8559566140174866,-1,-1,-1,1
2,-1,412,417,91,91,0.7366432547569275,-1,-1,-1,4
2,-1,536,430,28,61,0.6976932883262634,-1,-1,-1,8
2,-1,639,396,121,173,0.6308871507644653,-1,-1,-1,6
3,-1,759,367,211,107,0.9489842057228088,-1,-1,-1,4
3,-1,975,448,280,152,0.9355207681655884,-1,-1,-1,3
3,-1,561,528,112,138,0.9348801374435425,-1,-1,-1,8
3,-1,549,399,128,225,0.8926213383674622,-1,-1,-1,7
3,-1,-19,273,499,463,0.8298693299293518,-1,-1,-1,2
3,-1,409,417,91,92,0.6887425184249878,-1,-1,-1,5
3,-1,522,430,26,63,0.5708786845207214,-1,-1,-1,9
3,-1,637,400,121,170,0.5661686062812805,-1,-1,-1,6
4,-1,753,362,225,137,0.9744881391525269,-1,-1,-1,4
4,-1,986,445,282,170,0.949526846408844,-1,-1,-1,3
4,-1,553,504,121,179,0.9404168128967285,-1,-1,-1,7
4,-1,-13,266,489,476,0.7631269097328186,-1,-1,-1,2
4,-1,407,413,90,97,0.7221741080284119,-1,-1,-1,5
5,-1,754,362,226,138,0.9640564918518066,-1,-1,-1,3
5,-1,551,506,120,179,0.9531609416007996,-1,-1,-1,6
5,-1,988,446,284,168,0.9482407569885254,-1,-1,-1,2
5,-1,4,246,446,469,0.8868999481201172,-1,-1,-1,1
5,-1,407,417,86,93,0.7134943008422852,-1,-1,-1,4
5,-1,520,433,25,60,0.6263608336448669,-1,-1,-1,7
6,-1,754,361,226,141,0.9659916758537292,-1,-1,-1,4
6,-1,546,505,125,178,0.9569858908653259,-1,-1,-1,9
6,-1,994,443,276,165,0.9453444480895996,-1,-1,-1,3
6,-1,8,102,432,642,0.8614309430122375,-1,-1,-1,0
6,-1,405,415,88,98,0.6735355257987976,-1,-1,-1,5
6,-1,519,436,26,58,0.5363309383392334,-1,-1,-1,10
6,-1,619,401,121,158,0.5309708118438721,-1,-1,-1,6
7,-1,995,444,279,159,0.9669387936592102,-1,-1,-1,3
7,-1,545,504,124,178,0.9646379947662354,-1,-1,-1,9
7,-1,743,363,255,145,0.9594764113426208,-1,-1,-1,1
7,-1,15,46,416,757,0.9415861964225769,-1,-1,-1,0
7,-1,542,396,125,177,0.8480995893478394,-1,-1,-1,6
7,-1,622,404,116,157,0.6699352860450745,-1,-1,-1,7
7,-1,518,432,27,62,0.6670563817024231,-1,-1,-1,10
7,-1,403,411,92,100,0.6022511720657349,-1,-1,-1,5
8,-1,743,361,249,179,0.965255856513977,-1,-1,-1,5
8,-1,548,524,111,144,0.9429437518119812,-1,-1,-1,9
8,-1,1000,446,276,172,0.9148069024085999,-1,-1,-1,3
8,-1,16,77,409,697,0.9134283065795898,-1,-1,-1,0
8,-1,546,407,106,150,0.8721281290054321,-1,-1,-1,6
8,-1,404,412,91,100,0.6582223176956177,-1,-1,-1,4
8,-1,622,404,115,162,0.5532392859458923,-1,-1,-1,7
8,-1,519,434,27,60,0.5074611902236938,-1,-1,-1,10
9,-1,21,104,400,645,0.9580581784248352,-1,-1,-1,0
9,-1,541,520,111,153,0.9545116424560547,-1,-1,-1,9
9,-1,745,358,254,156,0.9533249735832214,-1,-1,-1,1
9,-1,996,442,281,181,0.9375475645065308,-1,-1,-1,3
9,-1,545,405,102,156,0.8399970531463623,-1,-1,-1,6
9,-1,519,432,24,62,0.7597231864929199,-1,-1,-1,10
9,-1,404,416,85,96,0.7551071047782898,-1,-1,-1,4
9,-1,619,402,117,166,0.669597864151001,-1,-1,-1,7
10,-1,743,361,260,148,0.9613182544708252,-1,-1,-1,1
10,-1,998,446,279,169,0.9402135014533997,-1,-1,-1,3
10,-1,17,93,399,663,0.9346132278442383,-1,-1,-1,0
10,-1,537,522,113,152,0.9259328246116638,-1,-1,-1,9
10,-1,527,392,114,185,0.8786886930465698,-1,-1,-1,6
10,-1,400,418,91,93,0.7221083641052246,-1,-1,-1,4
10,-1,614,402,119,166,0.5981886982917786,-1,-1,-1,7
10,-1,514,436,27,55,0.5785894989967346,-1,-1,-1,10
11,-1,742,358,259,156,0.9633907675743103,-1,-1,-1,1
11,-1,534,519,104,157,0.9455857872962952,-1,-1,-1,9
11,-1,527,406,108,149,0.9061928391456604,-1,-1,-1,6
11,-1,21,91,386,670,0.8666737675666809,-1,-1,-1,0
11,-1,1011,434,268,221,0.7913970351219177,-1,-1,-1,8
11,-1,383,417,100,98,0.7141737937927246,-1,-1,-1,4
11,-1,604,402,123,166,0.5361825823783875,-1,-1,-1,7
12,-1,533,521,106,153,0.9659770727157593,-1,-1,-1,10
12,-1,738,356,274,155,0.9620374441146851,-1,-1,-1,1
12,-1,520,394,114,238,0.9054784774780273,-1,-1,-1,8
12,-1,998,443,280,185,0.8438231945037842,-1,-1,-1,3
12,-1,12,275,389,459,0.8393679857254028,-1,-1,-1,2
12,-1,388,417,93,96,0.790563702583313,-1,-1,-1,5
12,-1,602,401,123,165,0.6612668037414551,-1,-1,-1,7
13,-1,742,355,267,160,0.96951824426651,-1,-1,-1,1
13,-1,526,524,107,144,0.9619327783584595,-1,-1,-1,9
13,-1,516,403,107,155,0.9410503506660461,-1,-1,-1,6
13,-1,1021,432,257,232,0.9034273028373718,-1,-1,-1,8
13,-1,-4,266,385,477,0.8559263944625854,-1,-1,-1,2
13,-1,599,401,120,164,0.7215716242790222,-1,-1,-1,7
13,-1,385,418,88,96,0.6786702871322632,-1,-1,-1,5
14,-1,737,354,280,162,0.9727587699890137,-1,-1,-1,1
14,-1,522,523,106,144,0.9124524593353271,-1,-1,-1,8
14,-1,502,399,119,175,0.883857011795044,-1,-1,-1,5
14,-1,17,103,393,632,0.8622109293937683,-1,-1,-1,0
14,-1,1025,431,254,233,0.8455899357795715,-1,-1,-1,7
14,-1,595,401,120,164,0.7591995000839233,-1,-1,-1,6
14,-1,378,416,95,98,0.6000140309333801,-1,-1,-1,3
15,-1,734,353,289,165,0.9827601313591003,-1,-1,-1,1
15,-1,515,524,110,138,0.9589851498603821,-1,-1,-1,8
15,-1,1028,442,252,254,0.8940843343734741,-1,-1,-1,7
15,-1,510,411,105,139,0.8925657868385315,-1,-1,-1,5
15,-1,16,137,389,561,0.8098249435424805,-1,-1,-1,0
15,-1,593,400,119,166,0.7921552062034607,-1,-1,-1,6
15,-1,376,415,98,100,0.7789372205734253,-1,-1,-1,3
16,-1,743,352,295,162,0.9887406229972839,-1,-1,-1,1
16,-1,511,523,109,138,0.9459872245788574,-1,-1,-1,9
16,-1,498,396,112,224,0.9215137362480164,-1,-1,-1,7
16,-1,1032,425,249,244,0.8970189690589905,-1,-1,-1,8
16,-1,14,127,396,583,0.8767838478088379,-1,-1,-1,0
16,-1,371,415,101,100,0.7429460883140564,-1,-1,-1,4
16,-1,583,405,129,160,0.6805849075317383,-1,-1,-1,6
17,-1,745,348,294,173,0.9908300042152405,-1,-1,-1,1
17,-1,505,525,112,135,0.94184809923172,-1,-1,-1,8
17,-1,498,396,106,225,0.9290105700492859,-1,-1,-1,6
17,-1,1043,422,241,248,0.8998862504959106,-1,-1,-1,7
17,-1,14,133,393,575,0.8635408282279968,-1,-1,-1,0
17,-1,580,403,133,160,0.6992202401161194,-1,-1,-1,5
17,-1,370,416,102,99,0.6896039843559265,-1,-1,-1,3
18,-1,748,347,287,171,0.9936957359313965,-1,-1,-1,0
18,-1,499,528,112,134,0.9778120517730713,-1,-1,-1,6
18,-1,495,393,101,230,0.962515652179718,-1,-1,-1,4
18,-1,1046,418,225,255,0.8713914155960083,-1,-1,-1,5
18,-1,25,229,359,485,0.8205618262290955,-1,-1,-1,1
19,-1,747,342,296,186,0.9963541030883789,-1,-1,-1,1
19,-1,489,525,119,133,0.9792008399963379,-1,-1,-1,7
19,-1,486,401,102,217,0.9637134075164795,-1,-1,-1,5
19,-1,1059,426,224,285,0.9127715229988098,-1,-1,-1,6
19,-1,1,286,336,435,0.7626843452453613,-1,-1,-1,2
19,-1,579,402,130,158,0.5471917986869812,-1,-1,-1,4
20,-1,743,340,304,190,0.9971989989280701,-1,-1,-1,1
20,-1,477,401,112,215,0.9795891642570496,-1,-1,-1,5
20,-1,487,522,114,139,0.975213885307312,-1,-1,-1,7
20,-1,1066,422,219,287,0.9426039457321167,-1,-1,-1,6
20,-1,3,164,331,511,0.8418901562690735,-1,-1,-1,0
20,-1,572,405,125,147,0.7921556234359741,-1,-1,-1,4
21,-1,742,337,316,196,0.9974545240402222,-1,-1,-1,0
21,-1,478,402,110,214,0.9468582272529602,-1,-1,-1,4
21,-1,6,237,310,484,0.8529474139213562,-1,-1,-1,1
21,-1,574,403,124,149,0.695234477519989,-1,-1,-1,3
